User,total_spend,avg_spend,median_spend,max_spend,transaction_count,unique_mcc,unique_merchants,unique_cities,online_pct,chip_pct,swipe_pct,fraud_rate,refund_rate,error_rate,first_year,last_year,tenure,auto,dining,education,entertainment,financial_services,fuel,grocery,healthcare,home_improvement,insurance,personal_care,retail,telecom,transport,utilities,grocery_pct,dining_pct,fuel_pct,retail_pct,transport_pct,financial_services_pct,healthcare_pct,auto_pct,telecom_pct,utilities_pct,education_pct,home_improvement_pct,entertainment_pct,personal_care_pct,insurance_pct,cluster_4,cluster_5,cluster_6,cluster_999,cluster_0,cluster_42,cluster_100,cluster_123,agg_cluster,high_value
4,1798790.91,97.01169830654729,88.33,3613.22,18542,94,624,402,0.12026750080897422,0.20585697335778233,0.6738755258332434,0.00010786322942508899,0.015909826340200627,0.011595297163197066,1999,2020,22,53584.13,37322.94,46142.22,4186.07,162120.0,14150.56,126870.69,115282.78,97711.8,8762.25,2009.42,430826.66,57611.04,29360.91,55613.86,0.07053109357774107,0.020748904051333016,0.007866706420036335,0.239509026649462,0.01632258081624395,0.09012720661346905,0.06408903856424314,0.029788970859320165,0.0320276468375082,0.030917356592601416,0.02565179740651458,0.05432082153450509,0.002327157635013844,0.0011170948156503638,0.004871188725319943,2,2,4,3,2,2,3,4,2,1
7,12629.18,53.513474576271186,54.79,281.93,236,21,34,3,0.046610169491525424,0.0,0.9533898305084746,0.0,0.0211864406779661,0.00847457627118644,2020,2020,1,0.0,3488.66,275.21,87.56,1020.0,638.76,1088.18,777.8,410.8,0.0,61.34,1884.85,1496.1100000000001,0.0,632.4300000000001,0.08616394730299197,0.2762380455421492,0.05057810562522665,0.1492456359003514,0.0,0.08076533868390505,0.0615875298317072,0.0,0.11846454005723255,0.0500768854351589,0.02179159692078187,0.0325278442464198,0.006933150054081104,0.004857005759677192,0.0,0,0,3,4,3,0,2,0,0,0
17,393424.85,57.98450257921886,36.75,908.75,6785,84,376,233,0.08165070007369196,0.2815033161385409,0.6368459837877671,0.004716285924834193,0.05394252026529108,0.019454679439941048,2004,2020,17,12395.02,28163.19,1087.89,11960.7,91705.17,8714.92,11254.13,3085.02,3428.79,15497.2,5191.87,28374.24,43181.93,13.86,5520.24,0.028605539278975387,0.07158467493855561,0.022151422311020772,0.07212111792124977,3.522909140081009e-05,0.23309450330857343,0.007841446721019276,0.031505432358937165,0.10975903021885883,0.014031243832208362,0.0027651786611852308,0.008715234942581793,0.030401485823785664,0.013196599045535634,0.03939049605026221,3,1,2,0,4,1,4,2,1,0
24,3424.63,46.27878378378379,33.129999999999995,283.75,74,18,26,8,0.04054054054054054,0.7432432432432432,0.21621621621621623,0.0,0.013513513513513514,0.013513513513513514,2020,2020,1,59.81,148.07,53.839999999999996,13.02,100.0,223.77999999999997,300.23,825.8,31.24,0.0,0.0,1288.7,65.36,0.0,237.06,0.08766786484963339,0.04323678762377249,0.06534428536805435,0.3763034254795409,0.0,0.029200234769887548,0.24113553872973137,0.017464660415869745,0.019085273445598502,0.06922207654549542,0.015721406400107454,0.00912215334211287,0.0038018705670393588,0.0,0.0,0,0,3,4,3,0,2,0,0,0
25,574341.59,59.63467864188557,61.89,1248.95,9631,80,210,120,0.0602221991485827,0.42529332364240474,0.5144844772090126,0.0006229882670543038,0.0654137680407019,0.02305056588100924,2009,2020,12,10654.89,1697.34,1297.27,6479.54,24380.0,56285.79,99414.33,80985.35,2727.7,1701.19,284.31,145710.38,23285.19,0.0,31330.82,0.17309268862106958,0.0029552796272336816,0.0980005470263785,0.2536998583020951,0.0,0.042448606237970685,0.1410055468906579,0.018551486059019337,0.04054240613151487,0.054550846648594616,0.0022587080973885247,0.004749264283646949,0.01128168343163169,0.0004950190008005515,0.0029619829551260604,1,3,5,2,0,3,1,3,2,0
32,60660.78,34.34925254813137,9.934999999999999,1040.59,1766,65,146,60,0.08267270668176671,0.0,0.9173272933182333,0.0,0.08607021517553794,0.008493771234428085,2006,2010,5,1672.54,46.75,88.59,381.43,6280.0,2675.4,4405.13,4293.84,337.71,405.86,420.99,5640.66,7890.65,1250.05,658.74,0.0726190794117715,0.0007706791768915599,0.044104279569105447,0.09298693488609938,0.020607219359856564,0.10352652900275928,0.07078445084286751,0.027572016053865448,0.1300782812222329,0.010859405368674784,0.0014604164338144021,0.00556718855247163,0.006287917827630967,0.006940069019884017,0.006690649213544567,3,1,2,0,4,1,4,2,0,0
38,105816.15,58.75410882842865,49.14,1103.96,1801,69,171,64,0.11493614658523042,0.7773459189339256,0.10771793448084398,0.0,0.06385341476957246,0.012215435868961688,2016,2020,5,523.39,3017.7599999999998,407.76,1679.17,2140.0,3675.99,7134.14,5456.66,2342.27,4318.8,1386.79,15336.72,10601.96,1738.1,8979.57,0.06742014333350817,0.02851889810770851,0.034739404145775477,0.14493742212318253,0.01642565903219877,0.020223756014559214,0.05156736471701154,0.004946220402084181,0.10019226743743748,0.08486010878301659,0.0038534760525685352,0.022135278972066175,0.01586874971353617,0.013105655422163819,0.04081418573629829,0,0,3,4,3,0,2,0,0,0
47,1065138.88,28.053594605983985,18.59,2060.2,37968,83,421,206,0.35082174462705434,0.17593763168984408,0.47324062368310155,0.0009745048461862621,0.002607458912768647,0.013432364096080911,2001,2020,20,8046.04,15202.29,27396.95,4451.13,72855.37,6683.62,74704.23,60572.64,34045.29,9823.84,6233.58,138945.84,39027.87,365469.87,57190.35,0.07013567094649667,0.01427258950494794,0.006274881262432182,0.13044856648177186,0.34311945311770053,0.06839987852100564,0.05686830246962725,0.007553982068516737,0.036641109185686666,0.0536928574046607,0.025721481502956688,0.03196324032411624,0.004178919841889539,0.005852363590370488,0.009223060189108862,2,4,1,1,2,4,3,4,4,1
57,12858.32,49.2655938697318,42.81,344.67,261,27,41,11,0.47509578544061304,0.49808429118773945,0.02681992337164751,0.0,0.007662835249042145,0.01532567049808429,2020,2020,1,135.44,30.02,13.32,19.33,180.0,473.26,1183.65,1247.8799999999999,108.78,674.05,7.3,1903.26,453.07,4295.52,1079.19,0.09205323868125853,0.0023346751364097334,0.036805741341015004,0.14801778148311756,0.3340654144553877,0.013998718339565355,0.09704844800876009,0.010533257843948509,0.03523555176726042,0.0839293158048641,0.0010359051571278363,0.008459892116543997,0.001503306808354435,0.0005677257993268172,0.05242131164880015,0,4,3,1,1,4,0,1,0,0
60,5238.59,68.92881578947369,60.65,877.81,76,22,30,7,0.07894736842105263,0.7631578947368421,0.15789473684210525,0.0,0.11842105263157894,0.02631578947368421,2019,2020,2,89.09,26.73,0.0,32.79,800.0,249.46999999999997,379.48,325.04,83.88,0.0,165.68,725.17,494.95,52.1,172.7,0.07243933959328751,0.005102518043977483,0.047621592833186024,0.13842847025630942,0.009945424245837144,0.15271284830460105,0.06204723026615941,0.017006484569321134,0.09448153033545285,0.03296688612775575,0.0,0.016011942144737418,0.006259317869884835,0.03162683088388288,0.0,0,0,3,4,3,0,2,0,0,0
